Organism for Expression,Internal ID,Link,Natural or Synthetic
S. cerevisiae,Training_001,Randomly obtained on http://www.yeastgenome.org/browse/,Natural
S. cerevisiae,Training_002,,Natural
S. cerevisiae,Training_003,,Natural
S. cerevisiae,Training_004,,Natural
S. cerevisiae,Training_005,,Natural
S. cerevisiae,Training_006,,Natural
S. cerevisiae,Training_007,,Natural
S. cerevisiae,Training_008,,Natural
S. cerevisiae,Training_009,,Natural
S. cerevisiae,Training_010,,Natural
S. cerevisiae,Training_011,,Natural
S. cerevisiae,Training_012,,Natural
S. cerevisiae,Training_013,,Natural
S. cerevisiae,Training_014,,Natural
S. cerevisiae,Training_015,,Natural
S. cerevisiae,Training_016,,Natural
S. cerevisiae,Training_017,,Natural
S. cerevisiae,Training_018,,Natural
S. cerevisiae,Training_019,,Natural
S. cerevisiae,Training_020,Randomly obtained on http://www.yeastgenome.org/browse/ and codon-optimized for S. cerevisiae on https://eu.idtdna.com/CodonOpt,Synthetic
S. cerevisiae,Training_021,,Synthetic
S. cerevisiae,Training_022,,Synthetic
S. cerevisiae,Training_023,,Synthetic
S. cerevisiae,Training_024,,Synthetic
S. cerevisiae,Training_025,,Synthetic
S. cerevisiae,Training_026,,Synthetic
S. cerevisiae,Training_027,,Synthetic
S. cerevisiae,Training_028,,Synthetic
S. cerevisiae,Training_029,,Synthetic
S. cerevisiae,Training_030,,Synthetic
S. cerevisiae,Training_031,,Synthetic
S. cerevisiae,Training_032,,Synthetic
S. cerevisiae,Training_033,,Synthetic
S. cerevisiae,Training_034,,Synthetic
S. cerevisiae,Training_035,,Synthetic
S. cerevisiae,Training_036,,Synthetic
S. cerevisiae,Training_037,,Synthetic
S. cerevisiae,Training_038,,Synthetic
S. cerevisiae,Training_039,,Synthetic
