Name,Internal ID,Classification
BBa_K592009,Test_0076,Synthetic
BBa_K592011,Test_0077,Synthetic
BBa_K1122007,Test_0078,Synthetic
BBa_K1033902,Test_0079,Synthetic
BBa_K1033906,Test_0080,Synthetic
BBa_K1033916,Test_0081,Synthetic
BBa_K1033910,Test_0082,Synthetic
BBa_K592010,Test_0083*,Natural
BBa_K864401,Test_0084,Synthetic
BBa_K1033919,Test_0085,Synthetic
BBa_K1033932,Test_0086,Synthetic
BBa_J97001,Test_0087,Synthetic
BBa_J97000,Test_0088,Synthetic
BBa_I742107,Test_0089*,Natural
BBa_K1686046,Test_0090,Synthetic
BBa_K1319004,Test_0091,Synthetic
BBa_K1907001,Test_0092,Synthetic
BBa_K1907002,Test_0093,Synthetic
BBa_M1436,Test_0094,Synthetic
BBa_M1437,Test_0095,Synthetic
BBa_K1758313,Test_0096,Synthetic
BBa_K1758310,Test_0097,Synthetic
BBa_K1319004,Test_0098,Synthetic
BBa_K1319003,Test_0099,Synthetic
BBa_K1506002,Test_0100,Synthetic
BBa_K1506000,Test_0101,Synthetic
BBa_K1506001,Test_0102,Synthetic
BBa_K2148013,Test_0103,Synthetic
BBa_K325902,Test_0104,Synthetic
BBa_K325903,Test_0105,Synthetic
BBa_K2165000,Test_0106,Synthetic
BBa_K2165001,Test_0107,Synthetic
BBa_K315040,Test_0108**,Mostly Natural
BBa_K382020,Test_0109,Synthetic
BBa_K382021,Test_0110,Synthetic
BBa_K1314017,Test_0111,Synthetic
BBa_K801080,Test_0112,Synthetic
BBa_Y00029,Test_0113,Synthetic
BBa_K1959000,Test_0114*,Natural
BBa_K1959001,Test_0115,Synthetic
BBa_K1959002,Test_0116,Synthetic
BBa_K1959003,Test_0117,Synthetic
BBa_K1717171,Test_0118,Synthetic
BBa_K1717172,Test_0119,Synthetic
BBa_K844004,Test_0120,Synthetic
