Organism for Expression,Addgene Sequence or link,ORF Frame,Natural or Synthetic
H. sapiens,http://genomics.senescence.info/genes/allgenes.php - AF000237,,Natural
H. sapiens,http://genomics.senescence.info/genes/allgenes.php - M91464,,Natural
H. sapiens,72211,ORF frame 1,Synthetic
H. sapiens,124532,ORF frame 1,Synthetic
H. sapiens,117892,ORF frame 2,Synthetic
H. sapiens,125330,ORF frame 3,Synthetic
H. sapiens,142415,ORF frame 3,Synthetic
H. sapiens,78432,ORF frame 3,Synthetic
H. sapiens,137791,ORF frame 2,Synthetic
H. sapiens,121072,ORF frame 3,Synthetic
H. sapiens,112174,ORF frame 3,Synthetic
H. sapiens,78373,ORF frame 2,Synthetic
