Organism,Internal ID,Link to Sequence
E. coli,Test_0001,http://ecocyc.org/ECOLI/sequence?type=GENE&object=G7176
E. coli,Test_0002,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG11972
E. coli,Test_0003,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G7554
E. coli,Test_0004,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG11212
E. coli,Test_0005,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG10894
E. coli,Test_0006,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG11373
E. coli,Test_0007,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG10589
E. coli,Test_0008,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G7595
E. coli,Test_0009,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG10109
E. coli,Test_0010,http://ecocyc.org/ECOLI/sequence?type=GENE&object=G6877
E. coli,Test_0011,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG10757
E. coli,Test_0012,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG11538
E. coli,Test_0013,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG11241
E. coli,Test_0014,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G7028
E. coli,Test_0015,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG10856
E. coli,Test_0016,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G6326
E. coli,Test_0017,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G6456
E. coli,Test_0018,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG10620
E. coli,Test_0019,http://ecocyc.org/ECOLI/sequence?type=GENE&object=G6320
E. coli,Test_0020,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG10782
E. coli,Test_0021,http://ecocyc.org/ECOLI/sequence?type=GENE&object=G6573
E. coli,Test_0022,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=G7414
E. coli,Test_0023,http://ecocyc.org/ECOLI/sequence-rc?type=GENE&object=EG12244
E. coli,Test_0024,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG10618
E. coli,Test_0025,http://ecocyc.org/ECOLI/sequence?type=GENE&object=EG11734
S. cerevisiae,Test_0026,http://www.yeastgenome.org/locus/S000000094/sequence
S. cerevisiae,Test_0027,http://www.yeastgenome.org/locus/S000000314/sequence
S. cerevisiae,Test_0028,http://www.yeastgenome.org/locus/S000000687/sequence
S. cerevisiae,Test_0029,http://www.yeastgenome.org/locus/S000002441/sequence
S. cerevisiae,Test_0030,http://www.yeastgenome.org/locus/S000002851/sequence
S. cerevisiae,Test_0031,http://www.yeastgenome.org/locus/S000000737/sequence
S. cerevisiae,Test_0032,http://www.yeastgenome.org/locus/S000000927/sequence
S. cerevisiae,Test_0033,http://www.yeastgenome.org/locus/S000001873/sequence
S. cerevisiae,Test_0034,http://www.yeastgenome.org/locus/S000001906/sequence
S. cerevisiae,Test_0035,http://www.yeastgenome.org/locus/S000003416/sequence
S. cerevisiae,Test_0036,http://www.yeastgenome.org/locus/S000003024/sequence
S. cerevisiae,Test_0037,http://www.yeastgenome.org/locus/S000001133/sequence
S. cerevisiae,Test_0038,http://www.yeastgenome.org/locus/S000001128/sequence
S. cerevisiae,Test_0039,http://www.yeastgenome.org/locus/S000001381/sequence
S. cerevisiae,Test_0040,http://www.yeastgenome.org/locus/S000001356/sequence
S. cerevisiae,Test_0041,http://www.yeastgenome.org/locus/S000003913/sequence
S. cerevisiae,Test_0042,http://www.yeastgenome.org/locus/S000003792/sequence
S. cerevisiae,Test_0043,http://www.yeastgenome.org/locus/S000001599/sequence
S. cerevisiae,Test_0044,http://www.yeastgenome.org/locus/S000001586/sequence
S. cerevisiae,Test_0045,http://www.yeastgenome.org/locus/S000004145/sequence
S. cerevisiae,Test_0046,http://www.yeastgenome.org/locus/S000004404/sequence
S. cerevisiae,Test_0047,http://www.yeastgenome.org/locus/S000004628/sequence
S. cerevisiae,Test_0048,http://www.yeastgenome.org/locus/S000005056/sequence
S. cerevisiae,Test_0049,http://www.yeastgenome.org/locus/S000005572/sequence
S. cerevisiae,Test_0050,http://www.yeastgenome.org/locus/S000006036/sequence
H. sapiens,Test_0051,http://genomics.senescence.info/genes/seq.php?id=243&type=orf
H. sapiens,Test_0052,http://genomics.senescence.info/genes/seq.php?id=127&type=orf
H. sapiens,Test_0053,http://genomics.senescence.info/genes/seq.php?id=158&type=orf
H. sapiens,Test_0054,http://genomics.senescence.info/genes/seq.php?id=221&type=orf
H. sapiens,Test_0055,http://genomics.senescence.info/genes/seq.php?id=209&type=orf
H. sapiens,Test_0056,http://genomics.senescence.info/genes/seq.php?id=90&type=orf
H. sapiens,Test_0057,http://genomics.senescence.info/genes/seq.php?id=39&type=orf
H. sapiens,Test_0058,http://genomics.senescence.info/genes/seq.php?id=44&type=orf
H. sapiens,Test_0059,http://genomics.senescence.info/genes/seq.php?id=43&type=orf
H. sapiens,Test_0060,http://genomics.senescence.info/genes/seq.php?id=276&type=orf
H. sapiens,Test_0061,http://genomics.senescence.info/genes/seq.php?id=307&type=orf
H. sapiens,Test_0062,http://genomics.senescence.info/genes/seq.php?id=283&type=orf
H. sapiens,Test_0063,http://genomics.senescence.info/genes/seq.php?id=82&type=orf
H. sapiens,Test_0064,http://genomics.senescence.info/genes/seq.php?id=20&type=orf
H. sapiens,Test_0065,http://genomics.senescence.info/genes/seq.php?id=219&type=orf
H. sapiens,Test_0066,http://genomics.senescence.info/genes/seq.php?id=31&type=orf
H. sapiens,Test_0067,http://genomics.senescence.info/genes/seq.php?id=37&type=orf
H. sapiens,Test_0068,http://genomics.senescence.info/genes/seq.php?id=229&type=orf
H. sapiens,Test_0069,http://genomics.senescence.info/genes/seq.php?id=75&type=orf
H. sapiens,Test_0070,http://genomics.senescence.info/genes/seq.php?id=24&type=orf
H. sapiens,Test_0071,http://genomics.senescence.info/genes/seq.php?id=254&type=orf
H. sapiens,Test_0072,http://genomics.senescence.info/genes/seq.php?id=60&type=orf
H. sapiens,Test_0073,http://genomics.senescence.info/genes/seq.php?id=248&type=orf
H. sapiens,Test_0074,http://genomics.senescence.info/genes/seq.php?id=162&type=orf
H. sapiens,Test_0075,http://genomics.senescence.info/genes/seq.php?id=113&type=orf
