Organism for Expression,Addgene Sequence,ORF Frame,Natural or Synthetic
E. coli,6762,ORF frame 1 (1528-3411),Synthetic
E. coli,67070,ORF frame 2 (1610-2794),Natural
E. coli*,67070,ORF frame 2 (2822-3988),Natural
E. coli*,67070,ORF frame 3 (4014-5297),Natural
E. coli,67070,ORF frame 2 (5729-7060),Synthetic
E. coli,67070,ORF frame 1 (7081-8436),Synthetic
E. coli,67070,ORF frame 3 (8457-9647),Natural
E. coli,67070,ORF frame 2 (9662-10216),Natural
E. coli,67070,ORF frame 3 (10515-11408),Synthetic
E. coli,67070,ORF frame 3 (11433-13064),Synthetic
E. coli,68901,ORF frame 3 (1437-2192),Synthetic
E. coli,74623,ORF frame 1 (1039-2202),Natural
E. coli,74623,ORF frame 3 (2385-3380),Natural
E. coli,74623,ORF frame 3 (3564-6227),Natural
E. coli,74623,ORF frame 2 (6413-8305),Natural
E. coli,74623,ORF frame 1 (8488-9912),Natural
E. coli,109895,ORF frame 1,Natural
E. coli,114599,ORF frame 3 (72-1031),Natural
E. coli,114599,ORF frame 2 (1214-1684),Natural
E. coli,114599,ORF frame 1 (1867-3216),Natural
E. coli,114599,ORF frame 3 (3399-4313),Natural
E. coli,118300,"Full sequence, reverse complement",Synthetic
E. coli,127060,ORF frame 1,Natural
E. coli,142299,ORF frame 2 (1255-1764),Natural
E. coli,142299,ORF frame 1 (191-1258),Natural
E. coli,151486,ORF frame 1 (4147-7278),Synthetic
E. coli,152940,ORF frame 1 (2686-3339),Natural
E. coli,152940,ORF frame 3 (3603-4703),Natural
E. coli,6762,ORF frame 1 (1528-3411),Synthetic
E. coli,67070,ORF frame 2 (1610-2794),Natural
E. coli*,67070,ORF frame 2 (2822-3988),Natural
E. coli*,67070,ORF frame 3 (4014-5297),Natural
E. coli,67070,ORF frame 2 (5729-7060),Synthetic
E. coli,67070,ORF frame 1 (7081-8436),Synthetic
E. coli,67070,ORF frame 3 (8457-9647),Natural
E. coli,67070,ORF frame 2 (9662-10216),Natural
E. coli,67070,ORF frame 3 (10515-11408),Synthetic
